Account,total_pnl,net_pnl,total_trades,win_rate,avg_pnl_per_trade,total_volume_usd,total_fees,avg_trade_size,win_rate_pct,roi,trader_label
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,2136334.371733,6279,0.7910495301799649,341.3573176762223,28207429.09,7048.225956,4492.344177416786,79.1049530179965,7.598645700216842,0xb1231a4a...
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,1596585.477902,1732,0.7927251732101617,923.9202193874133,30197521.86,3644.3420770000002,17435.058810623555,79.27251732101617,5.29920907880419,0x083384f8...
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,934748.555534,9997,0.9911973592077623,94.04459400020006,34795940.84,5415.250686,3480.638275482645,99.11973592077624,2.7019352933811915,0xbaaaf657...
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,803064.607938,5482,0.8954761036118205,153.30582911638086,208878970.18,37357.947278,38102.69430499818,89.54761036118205,0.40234905145873306,0x513b8629...
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,827391.908339,22551,0.7630703738193428,37.07509880169393,37903801.19,8688.644738,1680.803564808656,76.30703738193428,2.2057960595719344,0xbee1707d...
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,673290.466943,2233,0.948499776085983,303.5141292624273,20123109.27,4456.5837,9011.692463054187,94.8499776085983,3.368003629803875,0x4acb90e7...
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,428738.037777,737,0.746268656716418,582.5720025983718,5542302.86,617.528138,7520.085291723202,74.6268656716418,7.7468802546636715,0x72743ae2...
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,416289.148567,599,1.0,695.395446312187,1390253.66,252.723774,2320.957696160267,100.0,29.96157351177195,0x430f0984...
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,377360.745786,8660,0.9263279445727483,43.775451121362586,12964285.41,1734.660925,1497.0306478060047,92.63279445727483,2.9241519661283055,0x75f7eeb8...
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,360425.55382,558,0.7741935483870968,646.1281541738351,1187048.31,113.956209,2127.326720430108,77.41935483870968,30.372774805517395,0x72c6a462...
