classification,total_pnl,avg_pnl,median_pnl,win_rate,trade_count,win_rate_pct
Extreme Fear,739110.24849,71.02731582644628,6.38805,0.7621564482029598,10406,76.21564482029598
Fear,3357155.441642,112.62598770940687,6.3504830000000005,0.8728864734299517,29808,87.28864734299518
Neutral,1292920.67555,71.19999314664905,4.583458,0.8238889806707418,18159,82.38889806707418
Greed,2150129.272951,85.40392727005879,4.9276,0.7689068954559898,25176,76.89068954559897
Extreme Greed,2715171.310673,130.20530910051312,8.53074,0.8916702632714717,20853,89.16702632714717
